Dag;Prediktion;Övre konfidenslinje
2020-03-10;10;16
2020-03-11;10;16
2020-03-12;10;17
2020-03-13;11;18
2020-03-14;12;18
2020-03-15;12;19
2020-03-16;13;20
2020-03-17;14;22
2020-03-18;15;23
2020-03-19;16;24
2020-03-20;18;26
2020-03-21;19;27
2020-03-22;20;29
2020-03-23;21;30
2020-03-24;22;32
2020-03-25;24;33
2020-03-26;25;35
2020-03-27;27;37
2020-03-28;28;39
2020-03-29;30;41
2020-03-30;31;43
2020-03-31;33;45
2020-04-01;35;47
2020-04-02;37;49
2020-04-03;39;51
2020-04-04;41;54
2020-04-05;43;56
2020-04-06;45;58
2020-04-07;47;61
2020-04-08;49;63
2020-04-09;51;66
2020-04-10;54;68
2020-04-11;56;71
2020-04-12;58;73
2020-04-13;60;76
2020-04-14;63;78
2020-04-15;65;81
2020-04-16;67;83
2020-04-17;69;86
2020-04-18;71;88
2020-04-19;73;90
2020-04-20;75;92
2020-04-21;77;94
2020-04-22;78;96
2020-04-23;80;98
2020-04-24;81;99
2020-04-25;83;101
2020-04-26;84;102
2020-04-27;85;103
2020-04-28;86;104
2020-04-29;86;105
2020-04-30;87;105
2020-05-01;87;106
2020-05-02;87;106
2020-05-03;87;105
2020-05-04;86;105
2020-05-05;86;104
2020-05-06;85;104
2020-05-07;84;103
2020-05-08;83;101
2020-05-09;82;100
2020-05-10;81;99
2020-05-11;79;97
2020-05-12;77;95
2020-05-13;76;93
2020-05-14;74;91
2020-05-15;72;89
2020-05-16;70;87
2020-05-17;68;84
2020-05-18;66;82
2020-05-19;63;79
2020-05-20;61;77
2020-05-21;59;74
2020-05-22;57;72
2020-05-23;55;69
2020-05-24;52;67
2020-05-25;50;64
2020-05-26;48;62
2020-05-27;46;60
2020-05-28;44;57
2020-05-29;42;55
2020-05-30;40;53
2020-05-31;38;50
2020-06-01;36;48
2020-06-02;35;46
2020-06-03;33;44
2020-06-04;31;42
2020-06-05;30;40
2020-06-06;28;39
2020-06-07;27;37
2020-06-08;25;35
2020-06-09;24;34
2020-06-10;23;32
2020-06-11;21;31
2020-06-12;20;29
2020-06-13;19;28
2020-06-14;18;27
2020-06-15;17;26
2020-06-16;16;24
2020-06-17;16;23
2020-06-18;15;22
2020-06-19;14;21
2020-06-20;13;20
2020-06-21;13;20
2020-06-22;12;19
2020-06-23;11;18
2020-06-24;11;17
2020-06-25;10;17
2020-06-26;10;16
2020-06-27;9;15
2020-06-28;9;15
2020-06-29;8;14
2020-06-30;8;14
2020-07-01;8;13
2020-07-02;7;13
2020-07-03;7;12
2020-07-04;7;12
2020-07-05;6;11
2020-07-06;6;11
2020-07-07;6;11
2020-07-08;6;10
2020-07-09;5;10
